"Country","Year","Num of Systems","RMax","RPeak","Total Cores","GDPpC","HDI","Q1","Q2","Q3","Q4","Top10","Cluster"
"Country: United States","Year: 1993",236,857.5629999999985,1474.9929999999965,47495,26464.852511744,0.871,150860,79289,40718,17084,87531,"cluster_0"
"Country: Japan","Year: 1993",107,353.07999999999953,565.7280000000002,2345,35765.9140886748,0.8290000000000001,26065,23078,15247,11342,11695,"cluster_1"
"Country: Germany","Year: 1993",58,75.48499999999997,110.18699999999997,8539,25488.5195189314,0.8240000000000001,20756,16023,11666,4958,9929,"cluster_2"
"Country: France","Year: 1993",22,36.535999999999994,59.74199999999998,3014,22380.1039619355,0.804,16659,11104,8026,3005,8313,"cluster_3"
"Country: United Kingdom","Year: 1993",21,44.56899999999999,60.06100000000001,1014,18389.0195675099,0.8140000000000001,39633,22026,9925,3177,18304,"cluster_4"
"Country: Australia","Year: 1993",10,12.235000000000001,22.963,799,17633.3813804079,0.872,9392,6267,2780,674,4302,"cluster_5"
"Country: Italy","Year: 1993",6,4.3100000000000005,7.375,326,18676.9525789183,0.7859999999999999,11687,8581,5033,1784,5672,"cluster_6"
"Country: Netherlands","Year: 1993",6,8.671999999999999,11.599,568,22827.300043158706,0.8390000000000001,9528,5404,2776,989,5030,"cluster_6"
"Country: Switzerland","Year: 1993",5,9.626,12.114,18,38100.736729035,0.841,5551,2946,1639,738,3021,"cluster_8"
"Country: South Korea","Year: 1993",4,16.622,18.569999999999997,26,8740.9456025724,0.7559999999999999,1651,1121,714,416,704,"cluster_8"
"Country: Spain","Year: 1993",4,4.957,5.899,11,13303.6761311749,0.782,6989,4659,3145,1052,3346,"cluster_8"
"Country: Canada","Year: 1993",3,23.003,25.78,37,20017.4298480977,0.8540000000000001,16991,10696,5396,1922,8898,"cluster_9"
"Country: Norway","Year: 1993",3,4.259,6.5329999999999995,2108,27963.6652188271,0.87,1925,1309,743,177,879,"cluster_9"
"Country: Denmark","Year: 1993",2,1.995,3.46,264,27597.971483377998,0.815,3192,1939,881,226,1636,"cluster_9"
"Country: Mexico","Year: 1993",2,1.823,2.333,12,5526.86050703677,0.6629999999999999,917,689,387,202,432,"cluster_9"
"Country: Austria","Year: 1993",2,2.056,3.425,57,24081.5278077646,0.807,2001,1649,1014,394,1004,"cluster_9"
"Country: Taiwan","Year: 1993",2,2.6310000000000002,4.048,22,,,2692,1584,1052,353,1248,"cluster_9"
"Country: Brazil","Year: 1993",2,3.504,3.866,3,2786.1713557447692,0.63,1860,1423,927,454,803,"cluster_9"
"Country: Finland","Year: 1993",1,0.8220000000000001,0.94,4,17617.0304386654,0.799,2975,1653,735,195,1472,"cluster_9"
"Country: Sweden","Year: 1993",1,0.8220000000000001,0.94,4,24080.8996705645,0.84,6663,4082,1759,474,3313,"cluster_9"
"Country: Slovenia","Year: 1993",1,0.615,0.72,6,,0.769,266,228,186,78,102,"cluster_9"
"Country: Belgium","Year: 1993",1,0.54,0.828,6,22403.2168180008,0.8390000000000001,3703,2301,1236,504,1915,"cluster_9"
"Country: Greece","Year: 1993",1,0.485,0.77,512,10401.9829861914,0.762,1379,1045,570,198,654,"cluster_9"
